dogBreed,dCountry,catBreed,cCountry
Chippiparai,India,,
Chiribaya Dog,Peru ,,
Chow Chow,China,,
Cierny Sery,Slovakia,,
Cirneco dell'Etna,Italy,,
Clumber Spaniel,United Kingdom,,
"Collie, Rough",Scotland,,
"Collie, Smooth",Scotland,,
Combai,India,,
Cordoba Fighting Dog,Argentina,,
Coton de Tulear,Madagascar,,
Cretan Hound,Greece,,
Croatian Sheepdog,Croatia,,
Cumberland Sheepdog,United Kingdom,,
Curly-Coated Retriever,United Kingdom,,
Cursinu,France,,
Czechoslovakian Wolfdog,Czech Republic,,
Dachshund,Germany,,
Dalbo dog,Sweden ,,
Dalmatian,Croatia,,
Dandie Dinmont Terrier,Scotland,,
Danish-Swedish Farmdog,Denmark,,
Danish-Swedish Farmdog,Sweden,,
Deutsche Bracke,Germany,,
Doberman Pinscher,Germany,,
Dogo Argentino,Argentina,,
Dogo Cubano,Cuba,,
Dogue de Bordeaux,France,,
Drentse Patrijshond,Netherlands,,
Drever,Sweden,,
Dunker,Norway,,
Dutch Shepherd,Netherlands,,
Dutch Smoushond,Netherlands,,
East Siberian Laika,Russia,,
East European Shepherd,Russia,,
Elo,Germany,,
English Cocker Spaniel,United Kingdom,,
English Foxhound,United Kingdom,,
English Mastiff,United Kingdom,,
English Pointer,United Kingdom,,
English Setter,United Kingdom,,
English Shepherd,United Kingdom,,
English Springer Spaniel,United Kingdom,,
English Toy Terrier (Black & Tan),United Kingdom,,
English Water Spaniel,United Kingdom,,
English White Terrier,United Kingdom,,
Entlebucher Mountain Dog,Switzerland,,
Estonian Hound,Estonia,,
Estrela Mountain Dog,Portugal,,
Eurasier,Germany,,
Eurohound,Scandinavia,,
Field Spaniel,United Kingdom,,
Fila Brasileiro,Brazil,,
Finnish Hound,Finland,,
Finnish Lapphund,Finland,,
Finnish Spitz,Finland,,
Flat-Coated Retriever,United Kingdom,,
"Fox Terrier, Smooth",United Kingdom,,
"Fox Terrier, Wire",United Kingdom,,
French Brittany,France,,
French Bulldog,France,,
French Spaniel,France,,
Gaddi Kutta,India,,
Galgo Español,Spain,,
Galician Shepherd Dog,Spain,,
Garafian Shepherd,Spain,,
Gascon Saintongeois,France,,
Georgian Shepherd,Georgia,,
German Longhaired Pointer,Germany,,
German Pinscher,Germany,,
German Roughhaired Pointer,Germany,,
German Shepherd Dog,Germany,,
German Shorthaired Pointer,Germany,,
German Spaniel,Germany,,
German Spitz,Germany,,
German Wirehaired Pointer,Germany,,
Giant Schnauzer,Germany,,
Glen of Imaal Terrier,Ireland,,
Golden Retriever,Scotland,,
Gordon Setter,Scotland,,
Gran Mastín de Borínquen,Puerto Rico,,
Grand Anglo-Français Blanc et Noir,France,,
Grand Anglo-Français Blanc et Orange,France,,
Grand Anglo-Français Tricolore,France,,
Grand Basset Griffon Vendéen,France,,
Grand Bleu de Gascogne,France,,
Grand Griffon Vendéen,France,,
Great Dane,Germany,,
Great Pyrenees,France,,
Great Pyrenees,Spain,,
Greater Swiss Mountain Dog,Switzerland,,
Greek Harehound,Greece,,
Greek Shepherd ,Greece ,,
Greenland Dog,Greenland,,
Greyhound,United Kingdom,,
Greyhound,Middle East,,
Griffon Bleu de Gascogne,France,,
Griffon Fauve de Bretagne,France,,
Griffon Nivernais,France,,
Guatemalan Dogo,Guatemala,,
Gull Terrier,India,,
Gull Terrier,Pakistan,,
Hamiltonstövare,Sweden,,
Hanover Hound,Germany,,
Hare Indian Dog,United States,,
Harrier,United Kingdom,,
Havanese,Cuba,,
Hawaiian Poi Dog,United States,,
Himalayan Sheepdog,Nepal,,
Hokkaido,Japan,,
Hortaya borzaya,Ukraine,,
Hovawart,Germany,,
Huntaway,New Zealand,,
Hygen Hound,Norway,,
Ibizan Hound,Spain,,
Icelandic Sheepdog,Iceland,,
Indian pariah dog,India,,
Indian Spitz,India,,
Irish Red and White Setter,Ireland,,
Irish Setter,Ireland,,
Irish Terrier,Ireland,,
Irish Water Spaniel,Ireland,,
Irish Wolfhound,Ireland,,
Istrian Coarse-haired Hound,Croatia,,
Istrian Short-haired Hound,Croatia,,
Italian Greyhound,Italy,,
Jack Russell Terrier,United Kingdom,,
Jagdterrier,Germany,,
Swedish Elkhound,Sweden,,
Japanese Chin,Japan,,
Japanese Spitz,Japan,,
Japanese Terrier,Japan,,
Jindo,South Korea,,
Jonangi,India,,
Kaikadi dog,India,,
Kai Ken,Japan,,
Kangal Shepherd Dog,Turkey,,
Kanni,India,,
Karakachan dog,Bulgaria,,
Karelian Bear Dog,Finland,,
Karst Shepherd,Slovenia,,
Keeshond,Netherlands,,
Keeshond,Germany,,
Kerry Beagle,Ireland,,
Kerry Blue Terrier,Ireland,,
King Charles Spaniel,United Kingdom,,
King Shepherd,United States,,
Kintamani,Indonesia,,
Kishu Ken,Japan,,
Komondor,Hungary,,
Koolie,Australia,,
Koyun dog,Turkey,,
Kromfohrländer,Germany,,
Kumaon Mastiff,India,,
Kunming Wolfdog,China,,
Kur?,New Zealand,,
Kuvasz,Hungary,,
Kyi-Leo,United States,,
Labrador Husky,Canada,,
Labrador Retriever,United Kingdom,,
Lagotto Romagnolo,Italy,,
Lakeland Terrier,United Kingdom,,
Lancashire Heeler,United Kingdom,,
Landseer,Canada,,
Lapponian Herder,Finland,,
Lapponian Shepherd,Finland ,,
Leonberger,Germany,,
Lhasa Apso,Tibet,,
Lithuanian Hound,Lithuania,,
Louisiana Catahoula Leopard Dog,United States,,
Löwchen,Germany,,
Mackenzie River husky,Canada,,
Magyar agár,Hungary,,
Magyar agár,Romania,,
Mahratta Greyhound,India,,
Maltese,Italy,,
Manchester Terrier,United Kingdom,,
Maremma Sheepdog,Italy,,
Marquesan Dog,Marquesas Islands (French Polynesia) ,,
McNab dog,United States,,
Miniature American Shepherd,United States,,
Miniature Bull Terrier,United Kingdom,,
Miniature Fox Terrier,Australia,,
Miniature Pinscher,Germany,,
Miniature Schnauzer,Germany,,
Miniature Shar Pei,China,,
Molossus,Greece,,
Molossus of Epirus,Greece,,
Montenegrin Mountain Hound,Montenegro,,
Moscow Watchdog,Russia,,
Moscow Water Dog,Russia,,
Mountain Cur,United States,,
Mucuchies,Venezuela,,
Mudhol Hound,India,,
Mudi,Hungary,,
"Münsterländer, Large",Germany,,
"Münsterländer, Small",Germany,,
Neapolitan Mastiff,Italy,,
Nederlandse Kooikerhondje,Netherlands,,
Newfoundland,Canada,,
New Zealand Heading Dog,New Zealand,,
Norfolk Spaniel,United Kingdom,,
Norfolk Terrier,United Kingdom,,
Norrbottenspets,Sweden,,
North Country Beagle,United Kingdom,,
Northern Inuit Dog,United Kingdom,,
Norwegian Buhund,Norway,,
Norwegian Elkhound,Norway,,
Norwegian Lundehund,Norway,,
Norwich Terrier,United Kingdom,,
Nova Scotia Duck Tolling Retriever,Canada,,
Old Croatian Sighthound,Croatia,,
Old Danish Pointer,Denmark,,
Old English Bulldog,United Kingdom,,
Old English Sheepdog,United Kingdom,,
Old English Terrier,United Kingdom,,
Old German Shepherd Dog,Germany,,
Old Spanish Pointer,Spain,,
Old Time Farm Shepherd,United States,,
Olde English Bulldogge,United States,,
Otterhound,United Kingdom,,
Pachon Navarro,Spain,,
Pandikona,India,,
Paisley Terrier,Scotland,,
Papillon,Spain,,
Papillon,Belgium,,
Parson Russell Terrier,United Kingdom,,
Pastore della Lessinia e del Lagorai,Italy,,
Patterdale Terrier,United Kingdom,,
Pekingese,China,,
Perro de Pastor Mallorquin,Spain,,
Perro de Presa Canario,Spain,,
Perro de Presa Mallorquin,Spain,,
Peruvian Inca Orchid,Peru,,
Petit Basset Griffon Vendéen,France,,
Petit Bleu de Gascogne,France,,
Phalène,Belgium,,
Pharaoh Hound,Malta,,
Phu Quoc Ridgeback,Vietnam,,
Picardy Spaniel,France,,
Plummer Terrier,United Kingdom,,
Plott Hound,United States,,
Podenco Canario,Spain,,
Poitevin,France,,
Polish Greyhound,Poland,,
Polish Hound,Poland,,
Polish Hunting Dog,Poland,,
Polish Lowland Sheepdog,Poland,,
Polish Tatra Sheepdog,Poland,,
Pomeranian,Germany,,
Pont-Audemer Spaniel,France,,
Poodle,Germany,,
Poodle,France,,
Porcelaine,France,,
Portuguese Podengo,Portugal,,
Portuguese Pointer,Portugal,,
Portuguese Water Dog,Portugal,,
Posavac Hound,Croatia,,
Potsdam Greyhound,Italy,,
Praský Krysa?ík,Czech Republic,,
Pudelpointer,Germany,,
Pug,China,,
Puli,Hungary,,
Pumi,Hungary,,
Pungsan dog,North Korea,,
Pyrenean Mastiff,Spain,,
Pyrenean Shepherd,France,,
Rafeiro do Alentejo,Portugal,,
Rajapalayam,India,,
Rampur Greyhound,India,,
Rastreador Brasileiro,Brazil,,
Rat Terrier,United States,,
Ratonero Bodeguero Andaluz,Spain,,
Ratonero Mallorquin,Spain,,
Ratonero Murciano de Huerta,Spain,,
Ratonero Valenciano,Spain,,
Redbone Coonhound,United States,,
Rhodesian Ridgeback,Zimbabwe,,
Romanian Mioritic Shepherd Dog,Romania,,
Romanian Raven Shepherd Dog ,Romania ,,
Rottweiler,Germany,,
Russian Salon Dog,Russia,,
Russian Spaniel,Russia,,
Russian Toy,Russia,,
Russian Tracker,Russia,,
Russo-European Laika,Russia,,
Russell Terrier,United Kingdom,,
Saarloos Wolfdog,Netherlands,,
Saarloos Wolfdog,Germany,,
Sabueso Español,Spain,,
Sabueso fino Colombiano,Colombia,,
Saint Bernard,Italy,,
Saint Bernard,Switzerland,,
Saint John's water dog,Canada,,
Saint-Usuge Spaniel,France,,
Sakhalin Husky,Russia,,
Salish Wool Dog,Canada ,,
Saluki,Fertile Crescent,,
Samoyed,Russia,,
Sapsali,Korea,,
arplaninac,Serbia,,
Schapendoes,Netherlands,,
Schillerstövare,Sweden,,
Schipperke,Belgium,,
Schweizer Laufhund,Switzerland,,
Schweizerischer Niederlaufhund,Switzerland,,
Scotch Collie,Scotland,,
Scottish Deerhound,Scotland,,
Scottish Terrier,Scotland,,
Sealyham Terrier,Wales,,
Segugio Italiano,Italy,,
Seppala Siberian Sleddog,Canada,,
Serbian Hound,Serbia,,
Serbian Tricolour Hound,Serbia,,
Seskar Seal Dog,Finland,,
Shar Pei,China,,
Shetland Sheepdog,Scotland,,
Shiba Inu,Japan,,
Shih Tzu,China,,
Shikoku,Japan,,
Shiloh Shepherd,United States,,
Siberian Husky,Russia,,
Silken Windhound,United States,,
Silky Terrier,Australia,,
Sinhala Hound,Sri Lanka,,
Skye Terrier,Scotland,,
Sloughi,Morocco,,
Slovak Cuvac,Slovakia,,
Slovakian Wirehaired Pointer,Slovakia,,
Slovenský kopov,Slovakia,,
Smålandsstövare,Sweden,,
Small Greek Domestic Dog,Greece,,
Soft-Coated Wheaten Terrier,Ireland,,
South Russian Ovcharka,Russia,,
Southern Hound,United Kingdom,,
Spanish Mastiff,Spain,,
Spanish Water Dog,Spain,,
Spinone Italiano,Italy,,
Sporting Lucas Terrier,United Kingdom,,
Stabyhoun,Netherlands,,
Staffordshire Bull Terrier,United Kingdom,,
Standard Schnauzer,Germany,,
Stephens Cur,United States,,
Styrian Coarse-haired Hound,Austria,,
Sussex Spaniel,United Kingdom,,
Swedish Lapphund,Sweden,,
Swedish Vallhund,Sweden,,
Tahitian Dog,Society Islands,,
Tahltan Bear Dog,Canada,,
Taigan,Kyrgyzstan,,
Taiwan Dog,Taiwan,,
Talbot Hound,United Kingdom,,
Tamaskan Dog,Finland,,
Teddy Roosevelt Terrier,United States,,
Telomian,Malaysia,,
Tenterfield Terrier,Australia,,
Terceira Mastiff,Portugal,,
Thai Bangkaew Dog,Thailand,,
Thai Ridgeback,Thailand,,
Tibetan Mastiff,Tibet,,
Tibetan Spaniel,Tibet,,
Tibetan Terrier,Tibet,,
Tornjak,Bosnia and Herzegovina,,
Tosa,Japan,,
Toy Bulldog,United Kingdom,,
Toy Fox Terrier,United States,,
Toy Manchester Terrier,United States,,
Toy Trawler Spaniel,United Kingdom,,
Transylvanian Hound,Hungary,,
Treeing Cur,United States,,
Treeing Tennessee Brindle,United States,,
Treeing Walker Coonhound,United States,,
Trigg Hound,United States,,
Tweed Water Spaniel,Scotland,,
Tyrolean Hound,Austria,,
Cimarrón Uruguayo,Uruguay,,
Vanjari Hound,India,,
Villano de Las Encartaciones,Spain,,
Villanuco de Las Encartaciones,Spain,,
Vizsla,Hungary,,
Volpino Italiano,Italy,,
Weimaraner,Germany,,
"Welsh Corgi, Cardigan",Wales,,
"Welsh Corgi, Pembroke",Wales,,
Welsh Sheepdog,Wales,,
Welsh Springer Spaniel,Wales,,
Welsh Terrier,Wales,,
West Highland White Terrier,Scotland,,
West Siberian Laika,Russia,,
Westphalian Dachsbracke,Germany,,
Wetterhoun,Netherlands,,
Whippet,United Kingdom,,
White Shepherd,United States,,
Wirehaired Pointing Griffon,Netherlands,,
Wirehaired Vizsla,Hungary,,
"Welsh Corgi, Pembroke",Wales,,
Welsh Sheepdog,Wales,,
Welsh Springer Spaniel,Wales,,
Welsh Terrier,Wales,,
West Highland White Terrier,Scotland,,
West Siberian Laika,Russia,,
Westphalian Dachsbracke,Germany,,
Wetterhoun,Netherlands,,
Whippet,United Kingdom,,
White Shepherd,United States,,
Wirehaired Pointing Griffon,France,,
Wirehaired Vizsla,Hungary,,
Xiasi Dog,China,,
Xoloitzcuintli,Mexico,,
Yakutian Laika,Russia,,
Yorkshire Terrier,United Kingdom,,
