Breed,originationLocation,originationTime
Sakhalin Husky,Japan,
Salish Wool Dog,United States,
Saluki,Fertile Crescent,basal
Samoyed,Russia,basal
Sapsali,Korea,
arplaninac,Serbia,
Schapendoes,Netherlands,
Schillerstövare,Sweden,
Schipperke,Belgium,
Schweizer Laufhund,Switzerland,
Schweizerischer Niederlaufhund,Switzerland,
Scotch Collie,Scotland,
Scottish Deerhound,Scotland,
Scottish Terrier,Scotland,
Sealyham Terrier,Wales,
Segugio Italiano,Italy,
Seppala Siberian Sleddog,Canada,
Serbian Hound,Serbia,
Serbian Tricolour Hound,Serbia,
Seskar Seal Dog,Finland,
Shar Pei,China,basal
Shetland Sheepdog,Scotland,
Shiba Inu,Japan,basal
Shih Tzu,China,
Shikoku,Japan,
Shiloh Shepherd,United States,
Siberian Husky,Russia,basal
Silken Windhound,United States,
Silky Terrier,Australia,
Sinhala Hound,Sri Lanka,
Skye Terrier,Scotland,
Sloughi,Morocco,
Slovak Cuvac,Slovakia,
Slovakian Wirehaired Pointer,Slovakia,
Slovenský kopov,Slovakia,
Smålandsstövare,Sweden,
Small Greek Domestic Dog,Greece,
Soft-Coated Wheaten Terrier,Ireland,
South Russian Ovcharka,Russia,
Southern Hound,England,
Spanish Mastiff,Spain,
Spanish Water Dog,Spain,
Spinone Italiano,Italy,
Sporting Lucas Terrier,England,
Stabyhoun,Netherlands,
Staffordshire Bull Terrier,England,
Standard Schnauzer,Germany,
Stephens Cur,United States,
Styrian Coarse-haired Hound,Austria,
Sussex Spaniel,England,
Swedish Lapphund,Sweden,
Swedish Vallhund,Sweden,
Tahitian Dog,Society Islands,
Tahltan Bear Dog,Canada,
Taigan,Kyrgyzstan,
Taiwan Dog,Taiwan,
Talbot Hound,England,
Tamaskan Dog,Finland,
Teddy Roosevelt Terrier,United States,
Telomian,Malaysia,
Tenterfield Terrier,Australia,
Terceira Mastiff,Portugal,
Thai Bangkaew Dog,Thailand,
Thai Ridgeback,Thailand,
Tibetan Mastiff,Tibet,
Tibetan Spaniel,Tibet,
Tibetan Terrier,Tibet,
Tornjak,Bosnia and Herzegovina,
Tosa,Japan,
Toy Bulldog,England,
Toy Fox Terrier,United States,
Toy Manchester Terrier,United States,
Toy Trawler Spaniel,England,
Transylvanian Hound,Hungary,
Treeing Cur,United States,
Treeing Tennessee Brindle,United States,
Treeing Walker Coonhound,United States,
Trigg Hound,United States,
Tweed Water Spaniel,Scotland,
Tyrolean Hound,Austria,
Cimarrón Uruguayo,Uruguay,
Vanjari Hound,India,
Villano de Las Encartaciones,Spain,
Villanuco de Las Encartaciones,Spain,
Vizsla,Hungary,
Volpino Italiano,Italy,
Weimaraner,Germany,
"Welsh Corgi, Cardigan",Wales,
"Welsh Corgi, Pembroke",Wales,
Welsh Sheepdog,Wales,
Welsh Springer Spaniel,Wales,
Welsh Terrier,Wales,
West Highland White Terrier,Scotland,
West Siberian Laika,Russia,
Westphalian Dachsbracke,Germany,
Wetterhoun,Netherlands,
Whippet,England,
White Shepherd,United States,
Wirehaired Pointing Griffon,"Netherlands, France",
Wirehaired Vizsla,Hungary,
"Welsh Corgi, Pembroke",United Kingdom,
Welsh Sheepdog,United Kingdom,
Welsh Springer Spaniel,United Kingdom,
Welsh Terrier,United Kingdom,
West Highland White Terrier,United Kingdom,
West Siberian Laika,Russia,
Westphalian Dachsbracke,Germany,
Wetterhoun,Netherlands,
Whippet,United Kingdom,
White Shepherd,United States,
Wirehaired Pointing Griffon,"Netherlands, France",
Wirehaired Vizsla,Hungary,
Xiasi Dog,China,
Xoloitzcuintli,Mexico,
Yakutian Laika,Russia,
Yorkshire Terrier,United Kingdom,
